,Query,Exact binary MRR@50,Exact binary MRR@10,Approximate binary MRR@50,Approximate binary MRR@10,Exact binary MAP@50,Exact binary MAP@10,Approximate binary MAP@50,Approximate binary MAP@10,Exact binary MP@5,Exact binary MP@10,Exact binary MP@15,Exact binary MP@20,Exact binary MP@25,Exact binary MP@30,Exact binary MP@35,Exact binary MP@40,Exact binary MP@45,Exact binary MP@50,Approximate binary MP@5,Approximate binary MP@10,Approximate binary MP@15,Approximate binary MP@20,Approximate binary MP@25,Approximate binary MP@30,Approximate binary MP@35,Approximate binary MP@40,Approximate binary MP@45,Approximate binary MP@50
55,big data,1.0,1.0,1.0,1.0,0.19,0.12,0.225,0.159,0.2,0.2,0.333,0.5,0.48,0.433,0.457,0.425,0.467,0.42,0.2,0.3,0.4,0.55,0.52,0.467,0.486,0.45,0.489,0.46
56,ensemble learning,0.2,0.2,0.2,0.2,0.023,0.02,0.023,0.02,0.2,0.1,0.133,0.15,0.12,0.1,0.171,0.175,0.156,0.14,0.2,0.1,0.133,0.15,0.12,0.1,0.171,0.175,0.156,0.14
57,wordnet,0.143,0.143,1.0,1.0,0.026,0.014,0.105,0.283,0.0,0.1,0.133,0.1,0.08,0.167,0.143,0.2,0.178,0.16,0.4,0.4,0.333,0.25,0.24,0.3,0.257,0.3,0.267,0.24
58,medical imaging,1.0,1.0,1.0,1.0,0.674,1.0,0.857,1.0,1.0,1.0,1.0,0.95,0.92,0.8,0.771,0.8,0.733,0.74,1.0,1.0,1.0,0.95,0.96,0.9,0.886,0.9,0.911,0.9
59,deconvolution,0.083,0.0,1.0,1.0,0.019,0.0,0.341,0.578,0.0,0.0,0.2,0.2,0.16,0.133,0.171,0.15,0.133,0.12,0.8,0.7,0.733,0.75,0.6,0.533,0.543,0.55,0.533,0.5
60,Latent Dirichlet allocation,1.0,1.0,1.0,1.0,0.085,0.3,0.157,0.483,0.6,0.3,0.267,0.2,0.16,0.2,0.2,0.175,0.156,0.18,0.8,0.5,0.4,0.3,0.32,0.333,0.314,0.275,0.267,0.28
61,Euclidian distance,0.0,0.0,0.5,0.5,0.0,0.0,0.282,0.355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.5,0.533,0.5,0.52,0.567,0.543,0.5,0.489,0.5
62,web service,0.2,0.2,1.0,1.0,0.166,0.262,0.586,1.0,0.2,0.6,0.467,0.5,0.48,0.5,0.429,0.375,0.378,0.36,1.0,1.0,0.867,0.85,0.8,0.8,0.8,0.7,0.711,0.68
63,multi-task learning,1.0,1.0,1.0,1.0,0.409,0.79,0.409,0.79,0.8,0.9,0.733,0.65,0.64,0.633,0.686,0.625,0.556,0.56,0.8,0.9,0.733,0.65,0.64,0.633,0.686,0.625,0.556,0.56
64,Linear separability,0.0,0.0,1.0,1.0,0.0,0.0,0.502,0.498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.6,0.667,0.65,0.64,0.7,0.714,0.75,0.711,0.7
