author_name,n_pub
Markus Stolze,34
Leszek Pacholski,21
Elia Formisano,0
Stefan Eickeler,7
Zenzi M. Griffin,0
Alexander G. Schwing,43
Walter Rudin,0
Robert Urbanczik,0
Marius Leordeanu,21
Tapas Kanungo,25
Maarten A. Hogervorst,5
Emmanuel Caruyer,0
Daan T. J. Vreeswijk,2
Bijan Moayer,0
Chris Peikert,56
Edward Grefenstette,11
Marie-Laure Mugnier,52
Charles W. Dunnett,0
Reyer Zwiggelaar,56
Knut Conradsen,8
Nicolas Frémaux,0
Fabrice Bourel,0
Ramy Medhat,8
Behnood Rasti,0
Christine Choppy,54
Tom Fincham Haines,0
Abdallah Abbey Sebyala,0
Alexis Benichoux,0
Pauliina Kronqvist,0
Jim Braux-Zin,0
Nicolas Delannay,6
Zara Ambadar,6
Jack Koplowitz,0
Vasiliki E. Kosmidou,0
Vedran Sekara,0
Sean Stanek,0
Nihal Dindar,7
Marenglen Biba,0
Hoel Le Capitaine,0
Daniel J. Mankowitz,0
Heinrich Stamerjohanns,0
Junaed Sattar,11
Jane Elith,0
Giuseppe Jurman,11
Nicolas Eveno,0
Indre V. Viskontas,0
Farrokh Vatan,19
David K. Elson,11
Martin M. Hanczyc,9
Oscar Miranda-Dominguez,0
Alexandros G. Dimakis,64
Qusay H. Mahmoud,75
Tal Arbel,0
Luke Bornn,5
Anant Madabhushi,47
Aditi Dhagat,6
David Nassimi,17
Dmitry Gavinsky,20
Alexandra Balahur,33
Raquel Mochales,3
Fatih Calakli,2
Babak Alipanahi,5
Ralf Plänkers,0
Octavia A. Dobre,0
Evgeni Begelfor,0
Victor Adrian Prisacariu,0
Levent Karacan,4
Ying-Huey Fua,4
Tim Roughgarden,148
Dominic Widdows,30
Masayuki Karasuyama,19
Michael S. Gazzaniga,0
Zoltán Tüske,0
Francesc Serratosa,0
Hacheme Ayasso,0
Christopher K. Wikle,0
Fatemeh Abbasinejad,6
Jared Lorince,2
Dzenan Zukic,0
Fredrik Viksten,0
Anastasia Yendiki,0
Harish Doraiswamy,20
Guillem Rigaill,0
Christos A. Frantzidis,8
Jonathan H. Fernyhough,0
Margaret E. I. Kipp,6
Konstantinos Rematas,8
Jozef Mišutka,0
J.W. Gryzmala-Busse,0
Hal R. Varian,25
Judy A. Stamps,0
Battista Biggio,43
Yair Censor,[]
Stefan Hetzl,14
Yevgeniy Dodis,107
Sean C. Bendall,0
Angelia S. M. Vanderlaan,0
Hirotake Yamazoe,33
John Earman,0
Fabian Monrose,69
Iebeling Kaastra,0
Daniel Stekhoven,3
Michael Breuß,0
Jan Rühaak,0
Frank Steinbrücker,0
Anna Shtok,20
David Grangier,12
Vladimir Kolovski,9
Sonia Chernova,49
Goutham R. Kirikera,0
Daniele Gunetti,15
Yuri Kalnishkan,23
Luca Ghiani,1
Max Coltheart,0
Douglas Aberdeen,14
Michael J. Gorczynski,0
Pradeep Dasigi,2
Pieter Buteneers,4
Marius Tico,13
Xavier M. Keutgen,0
Noortje Venhuizen,2
Serban Oprisescu,0
Andreas Strotmann,15
Salvatore Rinzivillo,29
Petri Törönen,4
Alberto Santamaría-Pang,0
Sonia Crottaz-Herbette,0
Alireza Tavakoli Targhi,1
Stanislas Dehaene,0
Rocío Romero-Zaliz,0
Pinar Donmez,17
Imrul Kayes,9
Shamimabi Paurobally,19
Michele Merler,16
Carlos Merino-Gracia,0
Vincent A. Cicirello,31
Arnau Prat-Pérez,17
Dmitri Bitouk,5
Peter J. M. van Laarhoven,[]
Romain Yildizoglu,0
Roman Rosipal,9
Angelos Dassios,5
Réda Dehak,0
Lorenzo Orecchia,17
Amin Jourabloo,0
William Pentney,0
Federico Augugliaro,0
Federico Michele Facca,27
S. Arun-Kumar,0
Krishna Kumar Kandaswamy,0
Àgata Lapedriza,0
Denis P. Shamonin,0
Aliaksei Severyn,16
M. A. C. Perryman,0
Eni Mustafaraj,23
Dubravko Culibrk,26
Max Völkel,9
Derya Birant,8
Mehrnoosh Sadrzadeh,26
Emanuel Kitzelmann,10
Marie-France Sagot,7
Fevzi Alimoglu,0
Inês Lynce,64
Manuel Febrero,0
Pankaj Gulhane,3
