,author,papers,declared
1109,1273498351,1,10
1110,127353103,5,65
1111,127354404,38,181
1112,1273563922,4,49
1113,1273790750,1,27
1114,1273907201,2,12
1115,1273958724,2,116
1116,1274106008,1,10
1117,127429266,7,217
1118,1274488405,1,138
1119,1274808907,26,282
1120,1274868565,2,35
1121,1274925865,1,31
1122,1275083776,22,362
1123,1275145088,1,43
1124,1275334909,8,34
1125,1275673715,8,27
1126,1276003989,1,10
1127,1276025170,1,13
1128,1276209431,1,9
1129,1276280894,1,14
1130,127662788,2,29
1131,127671183,9,18
1132,1276936216,1,1
1133,1276936747,20,65
1134,1276952536,1,30
1135,1277082306,1,23
1136,1277270921,29,188
1137,127732955,2,11
1138,127742446,6,103
1139,1277472308,1,14
1140,1277929415,1,74
1141,1278008176,6,77
1142,1278046965,1,190
1143,127823669,9,100
1144,1278311902,1,7
1145,1278325502,3,79
1146,12783309,2,59
1147,1278373579,1,5
1148,127847919,11,47
1149,1278523172,2,117
1150,1278662003,2,39
1151,1278721609,1,9
1152,1278761251,13,172
1153,1279001557,1,5
1154,1279113063,11,43
1155,1279153409,2,4
1156,1279460641,1,6
1157,1279504442,2,4
1158,128066675,3,73
1159,128069434,1,109
1160,128075735,1,22
1161,1281026654,10,60
1162,1281575332,7,37
1163,128164540,6,71
1164,128194971,3,64
1165,128335373,3,222
1166,128418030,2,21
1167,128448086,2,87
1168,1285414996,10,177
1169,128626239,1,57
1170,1286943279,3,45
1171,128737659,2,23
1172,128737798,2,3
1173,128763826,4,109
1174,128767967,2,16
1175,128788107,6,139
1176,128823279,3,51
1177,128869916,3,175
1178,1289487633,4,162
1179,12896295,6,93
1180,1290611889,1,3
1181,129070380,7,64
1182,129249860,7,153
1183,1293069553,2,44
1184,129311312,1,137
1185,1294330762,29,122
1186,129528170,1,25
1187,129559506,1,12
1188,12956950,1,8
1189,1295901631,14,33
1190,129592405,9,50
1191,129626214,1,23
1192,129635349,12,67
1193,129671300,1,16
1194,1297859681,1,117
1195,129876516,1,2
1196,129943867,5,54
1197,129948039,2,298
1198,129969090,4,15
1199,1299738099,1,75
1200,1301067499,1,3
1201,1301523879,1,14
1202,1301565601,2,7
1203,130200899,26,62
1204,130217432,4,9
1205,130234326,1,132
1206,130242325,1,16
1207,130248871,7,39
1208,1302924543,1,148
1209,130361423,3,12
1210,130373319,2,53
1211,1303765160,2,84
1212,130389982,7,131
1213,130400640,7,38
1214,130468041,30,258
1215,1305265972,13,585
1216,130548059,1,86
1217,130579581,2,10
1218,130591124,1,17
1219,130614938,1,7
1220,1306298075,1,75
1221,13063201,16,93
1222,130636251,3,135
1223,1306445,6,260
1224,1306747195,1,33
1225,130753112,4,309
1226,130782984,1,91
1227,130847482,9,156
1228,130952494,2,37
1229,130965454,2,27
1230,1310230008,1,7
1231,131065259,37,99
1232,13115195,1,32
1233,131186531,5,38
1234,131194035,1,42
1235,131198310,1,3
1236,131199769,26,89
1237,1313188078,13,26
1238,131365561,1,5
1239,131410261,2,4
1240,131511257,1,5
1241,1315286358,3,187
1242,131539021,6,25
1243,131565679,6,42
1244,131578950,4,49
1245,131649368,5,116
1246,13167215,4,35
1247,1317051467,5,36
1248,131753885,6,12
1249,131782257,1,41
1250,131807965,3,11
1251,131836571,5,267
1252,1318483366,1,56
1253,131925691,3,18
1254,131954981,5,70
1255,131983522,1,2
1256,1320165016,2,46
1257,132041579,1,18
1258,132073311,1,6
1259,132103621,23,35
1260,132113785,3,20
1261,1321159908,1,8
1262,1321263372,2,13
1263,132129534,20,212
1264,13215008,39,261
1265,132152192,2,73
1266,132303927,9,30
1267,132346264,1,23
1268,132416649,1,117
1269,13246170,9,450
1270,132489353,6,101
1271,13250842,6,157
1272,132585503,21,44
1273,1326542699,2,117
1274,1327126036,1,4
1275,132755437,2,11
1276,1328124059,1,11
1277,132817572,2,14
1278,132899238,19,169
1279,1330279615,4,21
1280,133035438,1,65
1281,1331719040,1,354
1282,133257642,2,30
1283,133274563,6,41
1284,1332946779,1,51
1285,133301494,2,201
