,Query,Exact binary MRR@50,Exact binary MRR@10,Approximate binary MRR@50,Approximate binary MRR@10,Exact binary MAP@50,Exact binary MAP@10,Approximate binary MAP@50,Approximate binary MAP@10,Exact binary MP@5,Exact binary MP@10,Exact binary MP@15,Exact binary MP@20,Exact binary MP@25,Exact binary MP@30,Exact binary MP@35,Exact binary MP@40,Exact binary MP@45,Exact binary MP@50,Approximate binary MP@5,Approximate binary MP@10,Approximate binary MP@15,Approximate binary MP@20,Approximate binary MP@25,Approximate binary MP@30,Approximate binary MP@35,Approximate binary MP@40,Approximate binary MP@45,Approximate binary MP@50
69,Open Knowledge Base Connectivity,0.0,0.0,1.0,1.0,0.0,0.0,0.475,0.673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7,0.733,0.7,0.68,0.667,0.657,0.65,0.622,0.64
70,Propagation of uncertainty,0.037,0.0,1.0,1.0,0.002,0.0,0.067,0.193,0.0,0.0,0.0,0.0,0.0,0.067,0.057,0.05,0.044,0.04,0.4,0.3,0.267,0.25,0.24,0.267,0.229,0.2,0.178,0.16
71,Fast Fourier transform,1.0,1.0,1.0,1.0,0.46,0.568,0.631,0.789,0.8,0.7,0.6,0.65,0.72,0.767,0.686,0.675,0.644,0.64,1.0,0.8,0.733,0.75,0.8,0.833,0.771,0.775,0.778,0.76
72,Security token,0.059,0.0,0.059,0.0,0.003,0.0,0.003,0.0,0.0,0.0,0.0,0.05,0.04,0.067,0.057,0.05,0.044,0.04,0.0,0.0,0.0,0.05,0.04,0.067,0.057,0.05,0.044,0.04
73,Novelty detection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,semantic grid,0.125,0.125,1.0,1.0,0.002,0.012,0.68,1.0,0.0,0.1,0.067,0.05,0.04,0.033,0.029,0.025,0.022,0.02,1.0,1.0,1.0,1.0,0.96,0.933,0.886,0.85,0.778,0.7
75,Knowledge extraction,0.333,0.333,0.5,0.5,0.09,0.11,0.478,0.548,0.2,0.3,0.4,0.3,0.28,0.267,0.257,0.275,0.267,0.28,0.6,0.8,0.8,0.75,0.76,0.7,0.714,0.7,0.644,0.66
76,Computational biology,1.0,1.0,1.0,1.0,0.672,0.815,0.897,1.0,0.8,0.9,0.933,0.95,0.88,0.867,0.743,0.75,0.778,0.78,1.0,1.0,1.0,1.0,1.0,1.0,0.914,0.925,0.933,0.92
77,Web 2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,Network theory,0.1,0.1,1.0,1.0,0.012,0.01,0.659,0.879,0.0,0.1,0.133,0.1,0.08,0.1,0.114,0.1,0.111,0.1,1.0,0.9,0.933,0.8,0.8,0.8,0.771,0.75,0.756,0.78
79,Video denoising,0.5,0.5,0.5,0.5,0.047,0.117,0.047,0.117,0.4,0.2,0.2,0.2,0.16,0.133,0.114,0.1,0.156,0.18,0.4,0.2,0.2,0.2,0.16,0.133,0.114,0.1,0.156,0.18
80,Quantum information science,1.0,1.0,1.0,1.0,0.252,0.376,0.874,1.0,0.4,0.6,0.6,0.55,0.52,0.533,0.457,0.45,0.467,0.46,1.0,1.0,1.0,0.95,0.92,0.933,0.914,0.9,0.911,0.92
81,Color quantization,1.0,1.0,1.0,1.0,0.028,0.1,0.685,0.815,0.2,0.1,0.067,0.05,0.04,0.1,0.086,0.1,0.089,0.1,0.8,0.9,0.933,0.95,0.96,0.9,0.857,0.85,0.8,0.76
82,social web,0.333,0.333,1.0,1.0,0.085,0.188,0.977,1.0,0.6,0.4,0.267,0.35,0.28,0.3,0.286,0.275,0.244,0.24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.978,0.98
83,entity linking,1.0,1.0,1.0,1.0,0.226,0.38,0.226,0.38,0.6,0.5,0.467,0.5,0.44,0.367,0.429,0.5,0.467,0.42,0.6,0.5,0.467,0.5,0.44,0.367,0.429,0.5,0.467,0.42
84,information privacy,1.0,1.0,1.0,1.0,0.665,1.0,0.665,1.0,1.0,1.0,1.0,0.9,0.88,0.833,0.8,0.75,0.733,0.74,1.0,1.0,1.0,0.9,0.88,0.833,0.8,0.75,0.733,0.74
85,random forest,1.0,1.0,1.0,1.0,0.587,0.578,0.587,0.578,0.8,0.7,0.667,0.7,0.76,0.767,0.8,0.8,0.778,0.76,0.8,0.7,0.667,0.7,0.76,0.767,0.8,0.8,0.778,0.76
86,cloud computing,1.0,1.0,1.0,1.0,0.279,0.3,0.294,0.3,0.6,0.3,0.4,0.3,0.4,0.467,0.457,0.475,0.533,0.54,0.6,0.3,0.4,0.3,0.4,0.467,0.486,0.5,0.556,0.56
87,Knapsack problem,0.25,0.25,0.25,0.25,0.212,0.207,0.212,0.207,0.2,0.5,0.333,0.4,0.4,0.467,0.457,0.475,0.489,0.48,0.2,0.5,0.333,0.4,0.4,0.467,0.457,0.475,0.489,0.48
88,Linear algebra,1.0,1.0,1.0,1.0,0.399,0.637,0.907,1.0,0.8,0.7,0.667,0.65,0.64,0.7,0.629,0.6,0.6,0.56,1.0,1.0,1.0,1.0,1.0,1.0,0.971,0.95,0.933,0.92
89,batch processing,0.04,0.0,0.1,0.1,0.004,0.0,0.009,0.01,0.0,0.0,0.0,0.0,0.04,0.1,0.086,0.075,0.067,0.06,0.0,0.1,0.067,0.05,0.08,0.133,0.114,0.1,0.089,0.08
90,rule induction,0.0,0.0,0.059,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.04,0.033,0.057,0.05,0.044,0.04
91,Uncertainty quantification,0.091,0.0,1.0,1.0,0.022,0.0,0.557,0.89,0.0,0.0,0.067,0.1,0.12,0.1,0.143,0.175,0.178,0.16,1.0,0.9,0.867,0.85,0.76,0.767,0.771,0.725,0.689,0.66
92,Computer architecture,1.0,1.0,1.0,1.0,0.198,0.355,0.878,0.852,0.8,0.4,0.4,0.45,0.44,0.4,0.4,0.425,0.4,0.38,1.0,0.9,0.933,0.9,0.92,0.933,0.943,0.95,0.956,0.94
93,Best-first search,1.0,1.0,1.0,1.0,0.025,0.125,0.025,0.125,0.2,0.2,0.133,0.1,0.08,0.067,0.057,0.05,0.044,0.04,0.2,0.2,0.133,0.1,0.08,0.067,0.057,0.05,0.044,0.04
94,Gaussian random field,1.0,1.0,1.0,1.0,0.032,0.12,0.069,0.12,0.2,0.2,0.133,0.15,0.12,0.133,0.114,0.1,0.089,0.1,0.2,0.2,0.2,0.25,0.2,0.2,0.229,0.2,0.222,0.24
95,Support vector machine,1.0,1.0,1.0,1.0,0.974,1.0,0.974,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.975,0.978,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.975,0.978,0.98
96,ontology language,1.0,1.0,1.0,1.0,0.043,0.125,0.892,1.0,0.2,0.2,0.2,0.2,0.16,0.133,0.114,0.1,0.133,0.14,1.0,1.0,1.0,1.0,0.92,0.933,0.943,0.95,0.933,0.92
97,machine translation,1.0,1.0,1.0,1.0,0.656,0.638,0.849,1.0,0.8,0.8,0.733,0.8,0.84,0.8,0.8,0.825,0.8,0.82,1.0,1.0,0.933,0.95,0.96,0.933,0.914,0.925,0.889,0.9
98,middleware,0.333,0.333,0.333,0.333,0.056,0.193,0.056,0.193,0.6,0.4,0.267,0.2,0.16,0.133,0.143,0.15,0.2,0.18,0.6,0.4,0.267,0.2,0.16,0.133,0.143,0.15,0.2,0.18
99,Newton's method,1.0,1.0,1.0,1.0,0.533,0.733,0.533,0.733,1.0,0.8,0.867,0.75,0.76,0.767,0.714,0.7,0.711,0.66,1.0,0.8,0.867,0.75,0.76,0.767,0.714,0.7,0.711,0.66
